"group","name","rating","n_rater","n_reviewer","summary","process","ingredient"
"breakfast-and-brunch.eggs.breakfast-burritos","Crispy Rolled Breakfast Burrito",0,0,5,"I've always loved the idea of a breakfast burrito, but I've never been crazy about the execution. It always seemed like we were rolling up a bunch of random breakfast ingredients in a tortilla. Plus, it always bothered me that just a little of the top and bottom got browned, I mean, what about the sides? Here I'm going to show you a technique that takes care of both of those issues and will work no matter what ingredients you decide to use.","prep: 20 mins,cook: 30 mins,total: 50 mins,Servings: 2,Yield: 2 burritos","4 slices bacon + 1 large russet potato, peeled and cubed + salt and freshly ground black pepper to taste + 1 pinch cayenne pepper, or to taste + ¼ cup sliced onion + ¼ cup sliced bell pepper + 1 cup grated Cheddar cheese + 4 large eggs, beaten + 2 (10 inch) flour tortillas + 1 teaspoon hot sauce, or to taste + 1 medium avocado, cubed + 2 tablespoons sour cream + 1 tablespoon fresh cilantro leaves, or to taste"
"breakfast-and-brunch.eggs.breakfast-burritos","Bacon and Egg Tacos",4.5,21,17,"This is a quick and easy recipe for tasty bacon and egg breakfast tacos. Serve with salsa if desired.","prep: 5 mins,cook: 3 mins,total: 8 mins,Servings: 6,Yield: 6 tacos","6 eggs + ¼ cup crumbled cooked bacon + 2 tablespoons butter + 3 slices American cheese, diced + ¼ teaspoon salt + ¼ teaspoon ground black pepper + 6 flour tortillas + 1 cup salsa (Optional)"
"breakfast-and-brunch.eggs.breakfast-burritos","Authentic Huevos Rancheros",4,152,114,"This is an easy to make tostada-type breakfast that will definitely satisfy your hunger until lunch.","prep: 10 mins,cook: 10 mins,total: 20 mins,Servings: 4,Yield: 4 servings","2 tablespoons vegetable oil + 4 (6 inch) corn tortillas + 1 cup refried beans with green chilies + 1 teaspoon butter + 4 eggs + 1 cup shredded Cheddar cheese + 8 slices bacon, cooked and crumbled + ½ cup salsa (Optional)"
"breakfast-and-brunch.eggs.breakfast-burritos","Chorizo Breakfast Burritos",4.5,112,80,"A yummy breakfast burrito using chorizo sausage, great for when you're craving greasy breakfast food (i.e. - when you're hung-over)!","prep: 15 mins,cook: 15 mins,total: 30 mins,Servings: 4,Yield: 4 servings","cooking spray + ¾ pound chorizo sausage, casings removed and crumbled + ½ cup chopped red onion + 1 green chile pepper, seeded and diced + 4 eggs + 4 flour tortillas + 1 cup shredded Cheddar cheese"
"breakfast-and-brunch.eggs.breakfast-burritos","Carne Asada Breakfast Burrito",5,9,8,"A wonderful way to change up ordinary breakfast burrito by taking it to a new level.","prep: 15 mins,cook: 35 mins,total: 50 mins,Servings: 4,Yield: 4 servings","2 pounds beef skirt steak, cut into thin strips + 2 tablespoons carne asada seasoning + 1 tablespoon garlic powder + 1 tablespoon vegetable oil + ½ sweet onion, diced + 1 red bell pepper, seeded and chopped + 1 jalapeno pepper, seeded and diced + 1 (14.5 ounce) can Hunt's® Diced Tomatoes, drained + 2 cups frozen diced potatoes + salt and pepper to taste + 3 tablespoons butter, divided + 6 eggs, whisked + 2 cups shredded Mexican cheese blend + 4 (12 inch) flour tortillas"
"breakfast-and-brunch.eggs.breakfast-burritos","New Mexico Green Chile Breakfast Burritos",4.5,50,40,"Hatch green chile from New Mexico may be the most addictive substance on Earth. At the famed Chicago Dog in Santa Fe, New Mexico, they will line up in a blizzard to get their variation of this recipe. Dozens of local Santa Fe eateries, stands, gas stations and taco trucks make their own variation. This may be on the Heart Association hit list, but you will die with a smile on your face.","prep: 10 mins,cook: 30 mins,total: 40 mins,Servings: 6,Yield: 6 burritos","4 potatoes, shredded + 1 small onion, finely chopped + 1 clove garlic, minced + 1 (8 ounce) container frozen Hatch, New Mexico green chile peppers + ½ cup chicken broth + 12 strips bacon + <U+2153> cup vegetable oil + 1 tablespoon onion powder + salt and pepper to taste + 6 (10 inch) flour tortillas + butter flavored cooking spray + 12 extra large eggs, beaten + 2 cups shredded Cheddar cheese"
"breakfast-and-brunch.eggs.breakfast-burritos","Breakfast Enchiladas",4.5,84,72,"A hearty breakfast dish that includes hashbrowns, cheese, ham and diced green chilies rolled into flour tortillas. A new favorite for your next brunch or office get together that can be made in advance and reheated easily the next day.","prep: 15 mins,cook: 30 mins,total: 45 mins,Servings: 8,Yield: 8 enchiladas","1 (16 ounce) package frozen hash brown potatoes + 1 cup diced cooked ham + 1 tablespoon vegetable oil + 1 (4.5 ounce) can diced green chile peppers + 1<U+2009>½ cups shredded Cheddar cheese, divided + 1 (28 ounce) can green chile enchilada sauce + 8 (10 inch) flour tortillas"
"breakfast-and-brunch.eggs.breakfast-burritos","Make-Ahead Sweet Potato and Chorizo Breakfast Burritos",0,0,3,"The sweetness from the sweet potatoes is the perfect complement to the spicy chorizo inside these make-ahead burritos! Store in the fridge for up to 3 days or freeze. Take one out of the freezer and thaw in the fridge overnight for a quick breakfast idea!","prep: 25 mins,cook: 25 mins,total: 50 mins,Servings: 8,Yield: 8 burritos","2 medium sweet potatoes, scrubbed and cut into 1/2-inch cubes + 3 green onions, chopped + 2 tablespoons olive oil + ½ teaspoon garlic powder + ½ teaspoon salt + ¼ teaspoon ground black pepper + 1 (14 ounce) package Mexican-style chorizo + 1 tablespoon butter + 8 eggs + 8 (10 inch) flour tortillas + ½ cup salsa + 1 (4 ounce) package queso fresco, crumbled"
"breakfast-and-brunch.eggs.breakfast-burritos","Breakfast Burritos",0,0,108,"A different way to start your day. Burritos with fried eggs, bacon and refried beans topped with melted cheese. Ham or sausage may be substituted for the bacon. Serve with salsa on the side.","prep: 25 mins,additional: 10 mins,total: 35 mins,Servings: 10,Yield: 10 servings","1 pound bacon + 10 eggs + 1 (16 ounce) can refried beans + 8 ounces shredded Cheddar cheese + 10 (10 inch) flour tortillas"
"breakfast-and-brunch.eggs.breakfast-burritos","Slow Cooker Breakfast Burrito Bake",0,0,1,"Start before you go to bed, and this overnight breakfast burrito bake will be ready when everyone wakes up in the morning! Just set out bowls of shredded cheese, diced avocado, hot sauce, salsa, cilantro, and onion and let your guests customize and roll their own delicious breakfast burritos. Want to stretch this even further and serve it for a fun brunch? Use 6-inch tortillas and serve with mimosas!","prep: 20 mins,cook: 3 hrs 20 mins,total: 3 hrs 40 mins,Servings: 12,Yield: 12 burritos","2 pounds bulk breakfast sausage + 1 medium onion, finely chopped + 1 medium bell pepper, finely chopped + cooking spray + 1 (16 ounce) package frozen shredded hash browns + 2<U+2009>½ cups shredded Cheddar cheese + 12 large eggs + 1 cup milk + 1 teaspoon kosher salt + ½ teaspoon ground black pepper + 12 (10 inch) flour tortillas, warmed"
"breakfast-and-brunch.eggs.breakfast-burritos","Spinach Feta Egg Wrap",4.5,8,6,"This is my not-quite-as-healthy knock-off of a wrap at a popular coffee shop. Use butter instead of coconut oil if you want and try tomato- and basil-flavored feta cheese. To make it healthier use just egg whites and low-fat feta cheese.","prep: 10 mins,cook: 5 mins,total: 15 mins,Servings: 1,Yield: 1 serving","1 large whole-wheat tortilla + 1<U+2009>½ teaspoons coconut oil + 1 cup chopped baby spinach leaves + 1 oil-packed sun-dried tomato, chopped + 2 eggs, beaten + <U+2153> cup feta cheese + 1 tomato, diced"
"breakfast-and-brunch.eggs.breakfast-burritos","Make-Ahead Air Fryer Breakfast Burritos",5,1,1,"Sausage, egg, and cheese burritos made ahead of time that you can grab out of the freezer, pop in the air fryer, and be on your way in no time. Don't forget the salsa!","prep: 20 mins,cook: 20 mins,additional: 2 hrs,total: 2 hrs 40 mins,Servings: 15,Yield: 15 burritos","1 pound mild country bulk sausage + 12 large eggs, beaten + salt and ground black pepper to taste + 1 cup shredded Cheddar cheese + 15 (8 inch) flour tortillas"
"breakfast-and-brunch.eggs.breakfast-burritos","Easy Money Breakfast Burritos",0,0,19,"Yummy burritos that are so good that my husband was selling them for a buck apiece at corp school in the Navy. I was making them every night, and we bought a new couch with the money! These freeze really well; just defrost and eat. I also add fresh cooked mushrooms in these on occasion. I do find that these taste better when made ahead of time and eaten at a later time.","prep: 35 mins,cook: 25 mins,total: 1 hr,Servings: 10,Yield: 10 burritos","1 pound bulk pork sausage + ½ small onion, chopped + 2 teaspoons butter + 12 eggs, beaten + 1 (4 ounce) can diced green chilies, drained + ¾ cup process cheese food (such as Velveeta®), divided + ¾ cup salsa + 1 (10 ounce) package burrito-size flour tortillas"
"breakfast-and-brunch.eggs.breakfast-burritos","Hash Brown Breakfast Burritos",0,0,4,"This simple recipe is a wonderful addition to your breakfast offerings. Add your own flair by customizing the filling!","Servings: 6,Yield: 6 servings","2 cups Idahoan® Hash Browns + 3 eggs, scrambled + 1 (4 ounce) can roasted diced poblano chiles + 6 (12 inch) flour tortillas + 3 green onions, finely chopped + Soft goat cheese + Salsa verde"
"breakfast-and-brunch.eggs.breakfast-burritos","Tasty Breakfast Burritos",4.5,57,44,"Baked tortillas, packed with sausage, cheese and eggs. Swimming in a hearty sausage gravy.","prep: 30 mins,cook: 10 mins,total: 40 mins,Servings: 8,Yield: 8 servings","2 pounds ground pork sausage + 12 eggs, beaten + 1 (4 ounce) can chopped green chile peppers, drained + 8 (10 inch) flour tortillas + 8 ounces Cheddar cheese, shredded + 1 teaspoon all-purpose flour + 1 cup milk"
"breakfast-and-brunch.eggs.breakfast-burritos","Sausage and Pepper Sunrise Burrito",4.5,16,10,"Sausage and eggs with crisp tender peppers and onions are topped with shredded Cheddar cheese and rolled up in wheat tortillas for a hearty on-the-go breakfast.","prep: 15 mins,total: 15 mins,Servings: 4,Yield: 4 burritos","4 links breakfast pork sausage, cut into 1/2-inch pieces + ½ red onion, sliced + ½ cup red pepper strips + ½ cup green pepper strips + 4 eggs, beaten + 4 (8 inch) whole wheat tortillas + 1 cup KRAFT Shredded Triple Cheddar Cheese with a TOUCH OF PHILADELPHIA"
"breakfast-and-brunch.eggs.breakfast-burritos","Easy Egg and Avocado Breakfast Burrito",0,0,22,"Start your day with delicious scrambled egg and avocado burritos!","prep: 15 mins,cook: 10 mins,total: 25 mins,Servings: 4,Yield: 4 servings","6 eggs + <U+2153> cup milk + ¼ cup shredded Cheddar cheese + salt to taste + 2 avocados - peeled, pitted, and mashed + 4 (10 inch) flour tortillas, warmed + <U+2154> cup dry curd cottage cheese + ¼ cup ketchup"
"breakfast-and-brunch.eggs.breakfast-burritos","Easy Egg Tacos",0,0,1,"Serve these fun and easy egg tacos with your favorite toppings for the full taco treatment that kids love.","prep: 10 mins,cook: 10 mins,total: 20 mins,Servings: 4,Yield: 4 tacos","2 teaspoons vegetable oil + ½ small red or green pepper, diced + ½ jalapeño pepper, seeded and diced + 1 clove garlic, minced + <U+2154> cup diced ham + ½ teaspoon chili powder + 4 large eggs + ¼ teaspoon salt + ¼ teaspoon black pepper + 2 teaspoons butter + 4 small whole wheat or regular flour tortillas, warmed + ½ cup shredded Tex-Mex or Cheddar cheese + 2 each green onions, chopped + ¼ cup salsa + 1 tablespoon chopped fresh coriander"
"breakfast-and-brunch.eggs.breakfast-burritos","Big Bob's Big Brunch Quesadillas",0,0,8,"This is a recipe that was made from leftovers that turned out a real winner with friends. I wouldn't recommend adding salsa, because it will take away the fresh taste of the pico.","prep: 20 mins,cook: 20 mins,total: 40 mins,Servings: 4,Yield: 4 servings","½ small onion, chopped + ½ tomato, chopped + 1 jalapeno pepper, seeded and minced + 1 sprig fresh cilantro, chopped + 6 eggs, beaten + 4 (10 inch) flour tortillas + 2 cups shredded Cheddar cheese + ¼ cup sour cream, for topping + ¼ cup guacamole, for topping"
"breakfast-and-brunch.eggs.breakfast-burritos","Avocado and Egg Breakfast Burrito",5,4,2,"A flour tortilla wrapped around soft scrambled eggs, with the savory creaminess of avocado. Add some tomatoes, shredded cheese, and even some cilantro for a great-tasting breakfast burrito that will keep your appetite curbed all day long.","prep: 15 mins,cook: 5 mins,total: 20 mins,Servings: 2,Yield: 2 burritos","2 (10 inch) flour tortillas + 1 tablespoon butter + 4 medium eggs + 1 cup shredded mild Cheddar cheese + 1 Hass avocado - peeled, pitted, and sliced + 1 small tomato, chopped + 1 small bunch fresh cilantro, chopped, or to taste (Optional) + 1 pinch salt and ground black pepper to taste + 1 dash hot sauce, or to taste (Optional)"
"breakfast-and-brunch.eggs.breakfast-burritos","Migas con Chorizo",5,2,2,"Easy, inexpensive, delicious breakfast or brunch item that smells great on a Sunday morning. Shown to me by a former Mexican neighbor of mine. I usually make it vegetarian for myself, but with guests, I add a meat, usually sausage or chorizo. Delicious! Always a favorite and a classic in Mexico and Texas!","prep: 10 mins,cook: 20 mins,total: 30 mins,Servings: 3,Yield: 6 migas","2 tablespoons vegetable oil + 1 cup coarsely broken tortilla chips + ½ medium onion, chopped + ½ medium green bell pepper, chopped + ¾ cup chopped chorizo sausage + 1 medium tomato, diced + 5 large eggs, beaten + salt and ground black pepper to taste + 6 (6 inch) warm corn tortillas + 1 cup shredded Cheddar cheese + ¼ cup salsa"
"breakfast-and-brunch.eggs.breakfast-burritos","Waynesboroughs",4,12,11,"These are great for breakfast, lunch or dinner. The recipe was passed to me from my mother-in-law and my husband and I eat them all of the time. If desired, top with grated cheese and heat in microwave until melted.","prep: 30 mins,total: 30 mins,Servings: 10,Yield: 10 servings","5 large potatoes, peeled and diced + 1 pound pork sausage + 6 eggs + 10 (8 inch) flour tortillas"
"breakfast-and-brunch.eggs.breakfast-burritos","Spicy Garden-Fresh Breakfast Burritos",NA,0,0,"A flavorful, mildly warm breakfast burrito made with fresh peppers and tomatoes.","prep: 15 mins,cook: 15 mins,total: 30 mins,Servings: 5,Yield: 5 burritos","1 teaspoon salted butter, or to taste + 5 small (4"" long)s banana peppers, chopped + 3 peppers red chile peppers, chopped + 1 medium tomato, diced + ½ medium onion, diced + ½ cup cooked ground beef + salt and ground black pepper to taste + 3 large eggs + 5 (8 inch) flour tortillas + ½ cup shredded Cheddar cheese, or to taste + ¼ cup sour cream, or to taste"
"breakfast-and-brunch.breakfast-casseroles","Super Easy Egg Casserole",4.5,301,240,"Tasty egg casserole that husband approves! I frequently make this dish because it's so easy to make. This recipe can be easily doubled or tripled, but you may have to cook it longer.","prep: 15 mins,cook: 20 mins,total: 35 mins,Servings: 4,Yield: 1 9x13-inch casserole","1 cup shredded Cheddar cheese + 6 eggs, whisked + 6 slices bacon, diced + 2 slices bread, cubed + <U+2153> red bell pepper, diced + 2 green onions, chopped + 3 tablespoons milk + ½ teaspoon minced garlic, or to taste (Optional) + salt and ground black pepper to taste"
"breakfast-and-brunch.breakfast-casseroles","Overnight Blueberry French Toast",4.5,2248,1708,"This blueberry French toast casserole is a very unique breakfast dish. Good for any holiday breakfast or brunch, it's filled with the fresh taste of blueberries, and covered with a rich blueberry sauce to make it one-of-a-kind!","prep: 15 mins,cook: 55 mins,additional: 8 hrs 30 mins,total: 9 hrs 40 mins,Servings: 10,Yield: 1 9x13-inch casserole","12 slices day-old bread, cut into 1-inch cubes + 2 (8 ounce) packages cream cheese, cut into 1 inch cubes + 1 cup fresh blueberries + 12 eggs, beaten + 2 cups milk + 1 teaspoon vanilla extract + <U+2153> cup maple syrup + 1 cup white sugar + 1 cup water + 2 tablespoons cornstarch + 1 cup fresh blueberries + 1 tablespoon butter"
"breakfast-and-brunch.breakfast-casseroles","Southern Grits Casserole",0,0,217,"If you're from the South you will definitely love this recipe, which includes grits, eggs, sausage, and cheese. When I cook it, I place it in the slow cooker to stay warm. There is nothing worse than cold grits.","prep: 15 mins,cook: 45 mins,total: 1 hr,Servings: 16,Yield: 16 servings","6 cups water + 2 cups uncooked grits + ½ cup butter, divided + 3 cups shredded Cheddar cheese, divided + 1 pound ground pork sausage + 12 eggs + ½ cup milk + salt and pepper to taste"
"breakfast-and-brunch.breakfast-casseroles","Apple Raisin French Toast Strata",0,0,370,"A simple but elegant way to make breakfast fast. Put together the night before, and bake while you're in the shower. Serve with lots of extra maple syrup! You may also add extra raisins if you wish.","prep: 20 mins,cook: 45 mins,additional: 2 hrs 10 mins,total: 3 hrs 15 mins,Servings: 12,Yield: 12 servings","1 (1 pound) loaf cinnamon raisin bread, cubed + 1 (8 ounce) package cream cheese, diced + 1 cup diced peeled apples + 8 eggs + 2<U+2009>½ cups half-and-half cream + 6 tablespoons butter, melted + ¼ cup maple syrup"
"breakfast-and-brunch.breakfast-casseroles","Cheesy Ham and Hash Brown Casserole",0,0,1966,"I mostly use this as a breakfast casserole, but it's great anytime. May be served with or without diced ham. Quick and easy to make, not to mention delicious!","prep: 15 mins,cook: 1 hr,total: 1 hr 15 mins,Servings: 12,Yield: 12 servings","1 (32 ounce) package frozen hash brown potatoes + 8 ounces cooked, diced ham + 2 (10.75 ounce) cans condensed cream of potato soup + 1 (16 ounce) container sour cream + 2 cups shredded sharp Cheddar cheese + 1<U+2009>½ cups grated Parmesan cheese"
"breakfast-and-brunch.breakfast-casseroles","Cheesy Amish Breakfast Casserole",5,897,686,"Hearty Amish breakfast casserole with bacon, eggs, hash browns, and three different kinds of cheese baked into a comforting dish perfect for feeding a crowd.","prep: 10 mins,cook: 55 mins,additional: 10 mins,total: 1 hr 15 mins,Servings: 12,Yield: 1 9x13-inch casserole","1 pound sliced bacon, diced + 1 medium sweet onion, chopped + 9 large eggs, lightly beaten + 4 cups frozen shredded hash brown potatoes, thawed + 2 cups shredded Cheddar cheese + 1<U+2009>½ cups small curd cottage cheese + 1<U+2009>¼ cups shredded Swiss cheese"
"breakfast-and-brunch.breakfast-casseroles","Mexican-Style Breakfast Casserole",4.5,3,3,"I love Mexican food and can eat it for breakfast, lunch, and dinner! Here's an easy, yummy breakfast casserole recipe. Cut and serve with a slice of avocado, a dollop of sour cream, a spoonful of salsa, and a sprinkling of chopped fresh cilantro.","prep: 15 mins,cook: 55 mins,additional: 5 mins,total: 1 hr 15 mins,Servings: 8,Yield: 8 servings","cooking spray + 1 medium onion, chopped + 5 cups shredded hash brown potatoes + 3 cups diced ham + 2 cups shredded taco-flavored cheese + 1 (7 ounce) can diced green chile peppers + 8 large eggs + 1 cup milk + 1 cup sour cream + 1 teaspoon taco seasoning mix, or more to taste + 1 cup shredded Mexican blend cheese"
"breakfast-and-brunch.breakfast-casseroles","Crustless Spinach Quiche",0,0,2415,"This crustless quiche made with eggs, spinach, and Muenster cheese is perfect to serve at any meal. With no heavy crust to make, this light-tasting quiche is ready in under an hour. Make it your own by adding leftover ham and substituting Cheddar, feta, or goat cheese for the Muenster. I serve this quick and easy quiche in the summer for brunch with a side of sausage links and a fresh fruit bowl!","prep: 15 mins,cook: 35 mins,total: 50 mins,Servings: 6,Yield: 1 9-inch quiche","1 tablespoon vegetable oil + 1 medium onion, chopped + 1 (10 ounce) package frozen chopped spinach - thawed, drained, and squeezed dry + 5 large eggs, beaten + ¼ teaspoon salt + <U+215B> teaspoon ground black pepper + 3 cups shredded Muenster cheese"
"breakfast-and-brunch.breakfast-casseroles","Huevos Rancheros Brunch Casserole with Ham and Cheese",5,2,2,"This casserole layers corn tortillas, black beans, ham, cheese, and eggs for a delicious brunch inspired by huevos rancheros. Drizzle with hot sauce, if desired.","prep: 15 mins,cook: 35 mins,total: 50 mins,Servings: 6,Yield: 6 servings","3 tablespoons canola oil, divided + 6 (6 inch) corn tortillas + 1 (8 ounce) pre-cooked ham steak, diced + ½ cup diced yellow onion + ¾ teaspoon kosher salt, divided + 1 (14 ounce) can black beans, drained and rinsed + 1 (4 ounce) can diced green chile peppers + cooking spray + 1 cup shredded Monterey Jack cheese + 1<U+2009>¾ cups pico de gallo + 6 large eggs + ¼ teaspoon ground black pepper + 1 medium avocado, diced + 2 tablespoons chopped fresh cilantro"
