group,name,rating,process,ingredient
breakfast-and-brunch.eggs.breakfast-burritos,crispy rolled breakfast burrito,0,prep minscook minstotal minsservings yield burritos,slices bacon large russet potato peeled and cubed salt and freshly ground black pepper to taste pinch cayenne pepper or to taste ¼ cup sliced onion ¼ cup sliced bell pepper cup grated cheddar cheese large eggs beaten inch flour tortillas teaspoon hot sauce or to taste medium avocado cubed tablespoons sour cream tablespoon fresh cilantro leaves or to taste
breakfast-and-brunch.eggs.breakfast-burritos,bacon and egg tacos,4.5,prep minscook minstotal minsservings yield tacos,eggs ¼ cup crumbled cooked bacon tablespoons butter slices american cheese diced ¼ teaspoon salt ¼ teaspoon ground black pepper flour tortillas cup salsa optional
breakfast-and-brunch.eggs.breakfast-burritos,authentic huevos rancheros,4,prep minscook minstotal minsservings yield servings,tablespoons vegetable oil inch corn tortillas cup refried beans with green chilies teaspoon butter eggs cup shredded cheddar cheese slices bacon cooked and crumbled ½ cup salsa optional
breakfast-and-brunch.eggs.breakfast-burritos,chorizo breakfast burritos,4.5,prep minscook minstotal minsservings yield servings,cooking spray ¾ pound chorizo sausage casings removed and crumbled ½ cup chopped red onion green chile pepper seeded and diced eggs flour tortillas cup shredded cheddar cheese
breakfast-and-brunch.eggs.breakfast-burritos,carne asada breakfast burrito,5,prep minscook minstotal minsservings yield servings,pounds beef skirt steak cut into thin strips tablespoons carne asada seasoning tablespoon garlic powder tablespoon vegetable oil ½ sweet onion diced red bell pepper seeded and chopped jalapeno pepper seeded and diced ounce can hunts® diced tomatoes drained cups frozen diced potatoes salt and pepper to taste tablespoons butter divided eggs whisked cups shredded mexican cheese blend inch flour tortillas
breakfast-and-brunch.eggs.breakfast-burritos,new mexico green chile breakfast burritos,4.5,prep minscook minstotal minsservings yield burritos,potatoes shredded small onion finely chopped clove garlic minced ounce container frozen hatch new mexico green chile peppers ½ cup chicken broth strips bacon u cup vegetable oil tablespoon onion powder salt and pepper to taste inch flour tortillas butter flavored cooking spray extra large eggs beaten cups shredded cheddar cheese
breakfast-and-brunch.eggs.breakfast-burritos,breakfast enchiladas,4.5,prep minscook minstotal minsservings yield enchiladas,ounce package frozen hash brown potatoes cup diced cooked ham tablespoon vegetable oil ounce can diced green chile peppers u½ cups shredded cheddar cheese divided ounce can green chile enchilada sauce inch flour tortillas
breakfast-and-brunch.eggs.breakfast-burritos,makeahead sweet potato and chorizo breakfast burritos,0,prep minscook minstotal minsservings yield burritos,medium sweet potatoes scrubbed and cut into inch cubes green onions chopped tablespoons olive oil ½ teaspoon garlic powder ½ teaspoon salt ¼ teaspoon ground black pepper ounce package mexicanstyle chorizo tablespoon butter eggs inch flour tortillas ½ cup salsa ounce package queso fresco crumbled
breakfast-and-brunch.eggs.breakfast-burritos,breakfast burritos,0,prep minsadditional minstotal minsservings yield servings,pound bacon eggs ounce can refried beans ounces shredded cheddar cheese inch flour tortillas
breakfast-and-brunch.eggs.breakfast-burritos,slow cooker breakfast burrito bake,0,prep minscook hrs minstotal hrs minsservings yield burritos,pounds bulk breakfast sausage medium onion finely chopped medium bell pepper finely chopped cooking spray ounce package frozen shredded hash browns u½ cups shredded cheddar cheese large eggs cup milk teaspoon kosher salt ½ teaspoon ground black pepper inch flour tortillas warmed
breakfast-and-brunch.eggs.breakfast-burritos,spinach feta egg wrap,4.5,prep minscook minstotal minsservings yield serving,large wholewheat tortilla u½ teaspoons coconut oil cup chopped baby spinach leaves oilpacked sundried tomato chopped eggs beaten u cup feta cheese tomato diced
breakfast-and-brunch.eggs.breakfast-burritos,makeahead air fryer breakfast burritos,5,prep minscook minsadditional hrstotal hrs minsservings yield burritos,pound mild country bulk sausage large eggs beaten salt and ground black pepper to taste cup shredded cheddar cheese inch flour tortillas
breakfast-and-brunch.eggs.breakfast-burritos,easy money breakfast burritos,0,prep minscook minstotal hrservings yield burritos,pound bulk pork sausage ½ small onion chopped teaspoons butter eggs beaten ounce can diced green chilies drained ¾ cup process cheese food such as velveeta® divided ¾ cup salsa ounce package burritosize flour tortillas
breakfast-and-brunch.eggs.breakfast-burritos,hash brown breakfast burritos,0,servings yield servings,cups idahoan® hash browns eggs scrambled ounce can roasted diced poblano chiles inch flour tortillas green onions finely chopped soft goat cheese salsa verde
breakfast-and-brunch.eggs.breakfast-burritos,tasty breakfast burritos,4.5,prep minscook minstotal minsservings yield servings,pounds ground pork sausage eggs beaten ounce can chopped green chile peppers drained inch flour tortillas ounces cheddar cheese shredded teaspoon allpurpose flour cup milk
breakfast-and-brunch.eggs.breakfast-burritos,sausage and pepper sunrise burrito,4.5,prep minstotal minsservings yield burritos,links breakfast pork sausage cut into inch pieces ½ red onion sliced ½ cup red pepper strips ½ cup green pepper strips eggs beaten inch whole wheat tortillas cup kraft shredded triple cheddar cheese with a touch of philadelphia
breakfast-and-brunch.eggs.breakfast-burritos,easy egg and avocado breakfast burrito,0,prep minscook minstotal minsservings yield servings,eggs u cup milk ¼ cup shredded cheddar cheese salt to taste avocados peeled pitted and mashed inch flour tortillas warmed u cup dry curd cottage cheese ¼ cup ketchup
breakfast-and-brunch.eggs.breakfast-burritos,easy egg tacos,0,prep minscook minstotal minsservings yield tacos,teaspoons vegetable oil ½ small red or green pepper diced ½ jalapeño pepper seeded and diced clove garlic minced u cup diced ham ½ teaspoon chili powder large eggs ¼ teaspoon salt ¼ teaspoon black pepper teaspoons butter small whole wheat or regular flour tortillas warmed ½ cup shredded texmex or cheddar cheese each green onions chopped ¼ cup salsa tablespoon chopped fresh coriander
breakfast-and-brunch.eggs.breakfast-burritos,big bobs big brunch quesadillas,0,prep minscook minstotal minsservings yield servings,½ small onion chopped ½ tomato chopped jalapeno pepper seeded and minced sprig fresh cilantro chopped eggs beaten inch flour tortillas cups shredded cheddar cheese ¼ cup sour cream for topping ¼ cup guacamole for topping
breakfast-and-brunch.eggs.breakfast-burritos,avocado and egg breakfast burrito,5,prep minscook minstotal minsservings yield burritos,inch flour tortillas tablespoon butter medium eggs cup shredded mild cheddar cheese hass avocado peeled pitted and sliced small tomato chopped small bunch fresh cilantro chopped or to taste optional pinch salt and ground black pepper to taste dash hot sauce or to taste optional
breakfast-and-brunch.eggs.breakfast-burritos,migas con chorizo,5,prep minscook minstotal minsservings yield migas,tablespoons vegetable oil cup coarsely broken tortilla chips ½ medium onion chopped ½ medium green bell pepper chopped ¾ cup chopped chorizo sausage medium tomato diced large eggs beaten salt and ground black pepper to taste inch warm corn tortillas cup shredded cheddar cheese ¼ cup salsa
breakfast-and-brunch.eggs.breakfast-burritos,waynesboroughs,4,prep minstotal minsservings yield servings,large potatoes peeled and diced pound pork sausage eggs inch flour tortillas
breakfast-and-brunch.eggs.breakfast-burritos,spicy gardenfresh breakfast burritos,,prep minscook minstotal minsservings yield burritos,teaspoon salted butter or to taste small longs banana peppers chopped peppers red chile peppers chopped medium tomato diced ½ medium onion diced ½ cup cooked ground beef salt and ground black pepper to taste large eggs inch flour tortillas ½ cup shredded cheddar cheese or to taste ¼ cup sour cream or to taste
breakfast-and-brunch.breakfast-casseroles,super easy egg casserole,4.5,prep minscook minstotal minsservings yield xinch casserole,cup shredded cheddar cheese eggs whisked slices bacon diced slices bread cubed u red bell pepper diced green onions chopped tablespoons milk ½ teaspoon minced garlic or to taste optional salt and ground black pepper to taste
breakfast-and-brunch.breakfast-casseroles,overnight blueberry french toast,4.5,prep minscook minsadditional hrs minstotal hrs minsservings yield xinch casserole,slices dayold bread cut into inch cubes ounce packages cream cheese cut into inch cubes cup fresh blueberries eggs beaten cups milk teaspoon vanilla extract u cup maple syrup cup white sugar cup water tablespoons cornstarch cup fresh blueberries tablespoon butter
breakfast-and-brunch.breakfast-casseroles,southern grits casserole,0,prep minscook minstotal hrservings yield servings,cups water cups uncooked grits ½ cup butter divided cups shredded cheddar cheese divided pound ground pork sausage eggs ½ cup milk salt and pepper to taste
breakfast-and-brunch.breakfast-casseroles,apple raisin french toast strata,0,prep minscook minsadditional hrs minstotal hrs minsservings yield servings,pound loaf cinnamon raisin bread cubed ounce package cream cheese diced cup diced peeled apples eggs u½ cups halfandhalf cream tablespoons butter melted ¼ cup maple syrup
breakfast-and-brunch.breakfast-casseroles,cheesy ham and hash brown casserole,0,prep minscook hrtotal hr minsservings yield servings,ounce package frozen hash brown potatoes ounces cooked diced ham ounce cans condensed cream of potato soup ounce container sour cream cups shredded sharp cheddar cheese u½ cups grated parmesan cheese
breakfast-and-brunch.breakfast-casseroles,cheesy amish breakfast casserole,5,prep minscook minsadditional minstotal hr minsservings yield xinch casserole,pound sliced bacon diced medium sweet onion chopped large eggs lightly beaten cups frozen shredded hash brown potatoes thawed cups shredded cheddar cheese u½ cups small curd cottage cheese u¼ cups shredded swiss cheese
breakfast-and-brunch.breakfast-casseroles,mexicanstyle breakfast casserole,4.5,prep minscook minsadditional minstotal hr minsservings yield servings,cooking spray medium onion chopped cups shredded hash brown potatoes cups diced ham cups shredded tacoflavored cheese ounce can diced green chile peppers large eggs cup milk cup sour cream teaspoon taco seasoning mix or more to taste cup shredded mexican blend cheese
breakfast-and-brunch.breakfast-casseroles,crustless spinach quiche,0,prep minscook minstotal minsservings yield inch quiche,tablespoon vegetable oil medium onion chopped ounce package frozen chopped spinach thawed drained and squeezed dry large eggs beaten ¼ teaspoon salt ub teaspoon ground black pepper cups shredded muenster cheese
breakfast-and-brunch.breakfast-casseroles,huevos rancheros brunch casserole with ham and cheese,5,prep minscook minstotal minsservings yield servings,tablespoons canola oil divided inch corn tortillas ounce precooked ham steak diced ½ cup diced yellow onion ¾ teaspoon kosher salt divided ounce can black beans drained and rinsed ounce can diced green chile peppers cooking spray cup shredded monterey jack cheese u¾ cups pico de gallo large eggs ¼ teaspoon ground black pepper medium avocado diced tablespoons chopped fresh cilantro
breakfast-and-brunch.breakfast-casseroles,wakeup casserole,4.5,prep minscook hr minstotal hr minsservings yield servings,frozen hash brown patties cups shredded cheddar cheese pound cooked ham cut into cubes eggs cup milk ½ teaspoon salt ½ teaspoon ground mustard
breakfast-and-brunch.breakfast-casseroles,light and fluffy spinach quiche,4.5,prep minscook hrtotal hr minsservings yield inch quiche,½ cup light mayonnaise ½ cup milk eggs lightly beaten ounces shredded reducedfat cheddar cheese ounce package frozen chopped spinach thawed and squeezed dry ¼ cup chopped onion inch unbaked pie shell
breakfast-and-brunch.breakfast-casseroles,sausage casserole,4.5,prep minscook hr minsadditional minstotal hr minsservings yield servings,pound sage flavored breakfast sausage cups shredded potatoes drained and pressed ¼ cup butter melted ounces mild cheddar cheese shredded ½ cup onion shredded ounce container small curd cottage cheese jumbo eggs
breakfast-and-brunch.breakfast-casseroles,eggs benedict casserole,0,prep minscook minsadditional hrstotal hrs minsservings yield xinch casserole,cooking spray large eggs cups milk green onions chopped teaspoon onion powder teaspoon salt ¾ pound canadian bacon cut into inch dice english muffins cut into inch dice ½ teaspoon paprika ounce package hollandaise sauce mix cup milk ¼ cup margarine
breakfast-and-brunch.breakfast-casseroles,christmas breakfast sausage casserole,4.5,prep minscook hr minsadditional hrstotal hrs minsservings,pound ground pork sausage teaspoon mustard powder ½ teaspoon salt eggs beaten cups milk slices white bread toasted and cut into cubes ounces mild cheddar cheese shredded
breakfast-and-brunch.breakfast-casseroles,egg and sausage casserole,0,prep minscook minstotal minsservings yield servings,pound pork sausage ounce package refrigerated crescent roll dough eggs beaten cups shredded mozzarella cheese cups shredded cheddar cheese teaspoon dried oregano
breakfast-and-brunch.breakfast-casseroles,southern grits casserole,0,prep minscook minstotal hrservings yield servings,cups water cups uncooked grits ½ cup butter divided cups shredded cheddar cheese divided pound ground pork sausage eggs ½ cup milk salt and pepper to taste
breakfast-and-brunch.breakfast-casseroles,baked french toast,0,prep minscook minsadditional hrs minstotal hrsservings yield servings,pound loaf french bread cut diagonally in inch slices eggs cups milk u½ cups halfandhalf cream teaspoons vanilla extract ¼ teaspoon ground cinnamon ¾ cup butter uu cups brown sugar tablespoons light corn syrup
breakfast-and-brunch.breakfast-casseroles,french toast casserole,0,prep minscook minstotal hr minsservings yield x inch pan,cups bread cubes eggs u½ cups milk ¼ cup white sugar divided ¼ teaspoon salt teaspoon vanilla extract tablespoon margarine softened teaspoon ground cinnamon
breakfast-and-brunch.breakfast-casseroles,strawberry cream cheese french toast,4.5,prep minscook hr minsadditional hrstotal hrs minsservings yield xinch casserole,slices homestyle white bread cut into inch cubes divided ounce packages cold cream cheese cut into inch cubes u½ cups sliced fresh strawberries cups halfandhalf large eggs u cup pure maple syrup cup white sugar cup water tablespoons cornstarch cup sliced fresh strawberries tablespoon butter
breakfast-and-brunch.breakfast-casseroles,fathers day casserole,0,prep minscook minstotal hrservings yield xinch baking dish,ounce package bulk pork sausage cups frozen hash brown potatoes thawed ¼ cup milk or as needed ounce can refrigerated buttermilk biscuit dough such as pillsbury grands® u½ cups shredded mexican cheese blend eggs
breakfast-and-brunch.breakfast-casseroles,jimmy dean breakfast casserole,4.5,servings yield servings,ounce package regular flavor jimmy dean pork sausage large eggs eggs lightly beaten cups milk teaspoons dry mustard teaspoon salt cups cubed bread cups shredded sharp cheddar cheese ½ teaspoon black pepper ½ cup sliced mushrooms medium tomato seeded and chopped ½ cup thinsliced green onion
breakfast-and-brunch.breakfast-casseroles,cheesy baconsausageegghash brown skillet,0,prep minscook minstotal minsservings yield servings,slices bacon cut into inch pieces link smoked pineapplebacon chicken sausage cut into slices tablespoon canola oil teaspoon butter u½ cups frozen hash brown potatoes thawed ½ onion chopped ¾ teaspoon garlic powder divided ½ teaspoon onion powder ¼ teaspoon salt ¼ teaspoon ground black pepper cup shredded cheddar cheese eggs tablespoon milk pinch salt and ground black pepper to taste
breakfast-and-brunch.breakfast-casseroles,make ahead breakfast casserole,4.5,prep minscook minstotal hr minsservings yield to servings,u½ cups seasoned croutons pound spicy pork sausage eggs u¼ cups milk ounce can condensed cream of mushroom soup ounce package frozen chopped spinach thawed drained and squeezed dry ounce can mushrooms drained and chopped cup shredded sharp cheddar cheese cup shredded monterey jack cheese ¼ teaspoon dry mustard sprigs fresh parsley for garnish
breakfast-and-brunch.breakfast-casseroles,chili relleno casserole,4.5,prep minscook minstotal minsservings,ounce cans whole green chiles drained pound shredded cheddar cheese eggs tablespoons allpurpose flour u½ ounce cans evaporated milk pound shredded monterey jack cheese ounce cans green enchilada sauce
breakfast-and-brunch.breakfast-casseroles,easy breakfast casserole with biscuits and gravy,0,prep minscook minsstand minstotal hr minsservings,pound bulk breakfast sausage ¼ cup allpurpose flour u¼ cups milk teaspoon kosher salt divided ½ teaspoon ground black pepper divided tablespoon butter softened large eggs ounce can refrigerated biscuit dough cups shredded cheddar cheese
breakfast-and-brunch.breakfast-casseroles,easter breakfast casserole,0,prep minscook hr minstotal hr minsservings yield servings,pound bacon ¼ cup diced onion ¼ cup diced green bell pepper cups shredded cheddar cheese eggs cups milk ounce package frozen hash brown potatoes thawed
breakfast-and-brunch.breakfast-casseroles,maplepecan french toast bake,0,prep minscook minsadditional hrstotal hrsservings yield servings,u½ cups milk u½ cups halfandhalf large eggs tablespoon maple syrup teaspoon vanilla extract teaspoon ground cinnamon ¼ teaspoon ground nutmeg pound loaf french bread cut into inch slices cup light brown sugar cup coarsely chopped pecans ½ cup unsalted butter softened tablespoons maple syrup
breakfast-and-brunch.breakfast-casseroles,breakfast sausage casserole,4.5,prep minscook hr minsadditional hrstotal hrsservings yield x inch casserole,pound breakfast sausage slices bread cubed cups shredded cheddar cheese eggs ½ teaspoon salt ¾ teaspoon dry mustard powder cups milk ounce can condensed cream of mushroom soup ½ cup milk
breakfast-and-brunch.breakfast-casseroles,farmers casserole,0,prep minscook minstotal hr minsservings yield servings,cups frozen hash brown potatoes ¾ cup shredded pepperjack cheese cup cooked ham diced ¼ cup chopped green onions eggs beaten fluid ounce can evaporated milk ¼ teaspoon ground black pepper ub teaspoon salt
breakfast-and-brunch.breakfast-casseroles,fastandfabulous egg and cottage cheese casserole,4.5,prep minscook minstotal hrservings yield xinch casserole dish,cooking spray eggs beaten ounce packages cottage cheese pound shredded monterey jack cheese ounce can diced green chiles ½ cup butter melted optional ½ cup allpurpose flour ½ cup cooked crumbled bacon optional teaspoon baking powder
breakfast-and-brunch.breakfast-casseroles,brunch enchiladas,0,prep minscook hradditional hrstotal hrs minsservings yield servings,pound cooked ham chopped ¾ cup sliced green onions ¾ cup chopped green bell peppers cups shredded cheddar cheese divided inch flour tortillas eggs beaten cups halfandhalf cream ½ cup milk tablespoon allpurpose flour ¼ teaspoon garlic powder dash hot pepper sauce
breakfast-and-brunch.breakfast-casseroles,sausage and egg casserole,0,prep minscook minsadditional hrs minstotal hrs minsservings yield servings,pound bulk pork sausage eggs u½ cups milk teaspoon salt teaspoon ground mustard slices white bread cut into inch cubes cup shredded cheddar cheese
breakfast-and-brunch.breakfast-casseroles,country breakfast casserole,0,prep minscook minsadditional minstotal hr minsservings yield x inch dish,ounce package breakfast sausage chopped green onion cups shredded cheddar cheese eggs lightly beaten cup water ½ cup milk ounce package country gravy mix slices bread cut into inch cubes tablespoons melted butter optional ½ teaspoon paprika to taste
breakfast-and-brunch.breakfast-casseroles,amazing muffin cups,4.5,prep minscook minstotal minsservings yield servings,links johnsonville® original breakfast sausage cups frozen country style shredded hash brown potatoes thawed tablespoons butter melted ub teaspoon salt ub teaspoon pepper eggs lightly beaten cups shredded cheese mexican blend cheese ¼ cup chopped red bell pepper chopped fresh chives or green onion
breakfast-and-brunch.breakfast-casseroles,overnight blueberry french toast casserole,4.5,prep minscook hr minsadditional hrstotal hrs minsservings,ounce package cream cheese softened cup confectioners sugar tablespoons milk tablespoon vanilla extract divided cups blueberries divided loaves french bread cubed cups milk eggs teaspoon ground cinnamon ½ teaspoon ground nutmeg
breakfast-and-brunch.crepes,basic crepes,4.5,prep minscook minstotal minsservings yield crepes,cup allpurpose flour eggs ½ cup milk ½ cup water ¼ teaspoon salt tablespoons butter melted
breakfast-and-brunch.crepes,vanilla crepes,4.5,prep minscook minstotal minsservings yield crepes,u½ cups milk egg yolks tablespoons vanilla extract u½ cups allpurpose flour tablespoons sugar ½ teaspoon salt tablespoons melted butter
breakfast-and-brunch.crepes,french crepes,4.5,prep minscook minstotal minsservings yield crepes,cup allpurpose flour teaspoon white sugar ¼ teaspoon salt eggs cups milk tablespoons butter melted
breakfast-and-brunch.crepes,chocolate hazelnut fruit crepes,0,prep minscook minstotal minsservings yield servings,cup chocolate hazelnut spread inch premade crepes bananas sliced ounce can pressurized whipped cream
breakfast-and-brunch.crepes,crepes,0,prep minscook minsadditional hrtotal hr minsservings yield crepes,eggs cup milk u cup allpurpose flour pinch salt u½ teaspoons vegetable oil
breakfast-and-brunch.crepes,claires yummy crepes,4.5,prep minscook minstotal minsservings yield crepes,cup allpurpose flour ½ teaspoon white sugar ¼ teaspoon salt cup milk egg
breakfast-and-brunch.crepes,grandma irenas palacsinta hungarian crepes,0,prep minscook minsadditional hrstotal hrs minsservings yield rolled pancakes,cups allpurpose flour eggs cup milk cup soda water ½ cup vegetable oil pinch salt cup chopped almonds ½ cup white sugar ¼ cup milk ¼ teaspoon vanilla extract u½ teaspoons rum optional ¼ cup water ½ cup white sugar ½ cup chopped bittersweet chocolate tablespoons margarine
breakfast-and-brunch.crepes,dessert crepes,5,prep minscook minstotal minsservings yield crepes,eggs lightly beaten uu cups milk cup allpurpose flour tablespoons butter melted tablespoons white sugar ½ teaspoon salt
breakfast-and-brunch.crepes,jian bing chinese crepes,0,prep minscook minstotal minsservings yield crepe,tablespoons millet flour tablespoons soy milk ½ teaspoon vegetable oil teaspoon water if needed tablespoon chinese black bean sauce teaspoon water ½ teaspoon asian chile pepper sauce or to taste teaspoon water cooking spray egg beaten ½ green onion sliced tablespoon torn fresh cilantro leaves whole crackers
breakfast-and-brunch.crepes,perfect glutenfree crepes,3,prep minscook minsadditional minstotal minsservings yield crepes,cups glutenfree allpurpose flour ½ teaspoon salt ½ teaspoon xanthan gum eggs u½ cups milk ¼ cup butter melted
breakfast-and-brunch.crepes,beer batter crepes i,4.5,prep hrcook minsadditional minstotal hr minsservings yield crepes,eggs lightly beaten cup milk cup beer u¾ cups allpurpose flour pinch salt tablespoons vegetable oil tablespoons butter
breakfast-and-brunch.crepes,olive and chicken curry crepes,0,prep minscook minstotal minsservings yield to servings,u½ cups allpurpose flour u½ cups milk eggs beaten tablespoons vegetable oil ½ teaspoon salt ¼ cup butter u¼ cups diced celery cup diced onion tablespoons allpurpose flour teaspoon salt ¾ teaspoon curry powder cup milk cubes chicken bouillon ½ cup warm water ¾ cup sliced black olives u½ cups cooked diced chicken breast meat ¼ cup freshly grated parmesan cheese
breakfast-and-brunch.crepes,banh xeo vietnamese crepes,0,prep minscook minstotal minsservings,cup rice flour ½ teaspoon white sugar ½ teaspoon salt ¼ teaspoon ground turmeric cup coconut milk ½ cup water tablespoons vegetable oil divided or as needed tablespoons minced shallot cloves garlic minced or more to taste ¾ pound fresh shrimp peeled and deveined tablespoons fish sauce or more to taste salt to taste pound mung bean sprouts lettuce leaves or as needed
breakfast-and-brunch.crepes,banana crepes,0,prep minscook minstotal minsservings yield servings,cup allpurpose flour ¼ cup confectioners sugar eggs cup milk tablespoons butter melted teaspoon vanilla extract ¼ teaspoon salt ¼ cup butter ¼ cup packed brown sugar ¼ teaspoon ground cinnamon ¼ teaspoon ground nutmeg ¼ cup halfandhalf cream bananas halved lengthwise u½ cups whipped heavy cream pinch ground cinnamon
breakfast-and-brunch.crepes,chef johns strawberry crepe cake,0,prep minscook hradditional minstotal hrs minsservings yield layer crepe cake,large eggs u½ cups allpurpose flour tablespoons white sugar ½ teaspoon kosher salt u½ tablespoons vegetable oil u¼ cups whole milk ½ teaspoon vanilla extract tablespoons butter or as needed ounce jar strawberry jam tablespoons water ¾ cup mascarpone cheese u½ cups heavy cream tablespoons white sugar ½ teaspoon vanilla extract
breakfast-and-brunch.crepes,fluffy swedish pancakes,5,prep minscook minstotal minsservings yield crepes,eggs cup milk ½ cup warm water tablespoons white sugar cup allpurpose flour ½ teaspoon salt ½ cup butter melted tablespoon butter melted or as needed
breakfast-and-brunch.crepes,blintz souffle ii,5,prep minscook minstotal minsservings yield servings,tablespoons butter ounce packages frozen cheesefilled blintzes eggs beaten u½ cups sour cream u¼ cups white sugar ½ teaspoon salt teaspoon vanilla extract tablespoon orange juice
breakfast-and-brunch.crepes,breakfast crepes,4.5,prep minscook minstotal minsservings yield crepes,cup allpurpose flour cup milk egg pinch salt
breakfast-and-brunch.crepes,regular crepes,0,prep minscook minstotal minsservings yield crepes,u½ cups allpurpose flour tablespoon white sugar ½ teaspoon baking powder ½ teaspoon salt cups milk tablespoons butter melted ½ teaspoon vanilla extract eggs
breakfast-and-brunch.crepes,ham and cheese crepes,4.5,prep minscook minsadditional minstotal hr minsservings yield servings,u¼ cups allpurpose flour cup milk large eggs tablespoon melted butter teaspoon butter medium onion thinly sliced teaspoons butter divided or more as needed tablespoons dijon mustard ½ slice thinly sliced ham ounces shredded gruyere cheese
breakfast-and-brunch.crepes,eggless crepes,0,prep minscook minsadditional hrstotal hrs minsservings yield inch crepes,½ cup skim milk u cup water ¼ cup butter melted tablespoons vanilla extract cup allpurpose flour tablespoon white sugar ¼ teaspoon salt tablespoon vegetable oil
breakfast-and-brunch.crepes,healthier basic crepes,4.5,prep minscook minstotal minsservings yield crepes,cup white whole wheat flour eggs ½ cup lowfat milk ½ cup water ¼ teaspoon salt tablespoons butter melted ½ cup nonfat plain greek yogurt ¼ cup maple syrup ½ cup blueberries
